gameid,playerid,position,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,wardskilled,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,deathsat15
ESPORTSTMNT03_3088580,24,top,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18936,425.0505,0.203104,781.0101,25,0.5612,6,10,49,1.0999,18039,12310,276.3187,0.258844,18200,407.0,371.0,36,9.1358,3096.0,4681.0,79.0,464.0,14.0,0.0,0.0,0.0,5876.0,7830.0,136.0,1599.0,37.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3088580,6,jng,0,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9695,217.6207,0.103987,1030.0561,16,0.3591,25,16,81,1.8182,11742,6013,134.9719,0.126441,11550,184.0,41.0,143,4.1302,2959.0,3122.0,62.0,-270.0,0.0,0.0,0.0,1.0,4448.0,5334.0,94.0,721.0,11.0,0.0,1.0,1.0,1.0
ESPORTSTMNT03_3088580,41,mid,6,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44003,987.7217,0.471968,542.7834,22,0.4938,11,6,69,1.5488,17243,11514,258.4512,0.242107,16990,392.0,362.0,30,8.7991,2969.0,4273.0,78.0,-125.0,5.0,0.0,0.0,1.0,5000.0,6888.0,130.0,-6.0,5.0,1.0,0.0,1.0,1.0
ESPORTSTMNT03_3088580,50,bot,5,4,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14609,327.9237,0.156693,656.0045,23,0.5163,21,10,78,1.7508,20007,14278,320.4938,0.300224,17850,437.0,381.0,56,9.8092,3088.0,2873.0,77.0,-345.0,-6.0,0.0,0.0,1.0,4751.0,5008.0,127.0,-745.0,-16.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3088580,3,sup,1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990,134.4557,0.0642476,631.0887,73,1.6386,4,22,114,2.5589,9171,3442,77.2615,0.0723827,8900,42.0,42.0,0,0.9428,2121.0,2186.0,14.0,-77.0,8.0,0.0,0.0,1.0,3215.0,3413.0,24.0,-52.0,12.0,0.0,1.0,1.0,1.0
ESPORTSTMNT03_3086653,46,top,3,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31260,835.0846,0.334679,690.8281,12,0.3206,7,6,33,0.8816,14927,10070,269.0116,0.276759,15050,333.0,304.0,29,8.8958,3312.0,4434.0,81.0,-170.0,17.0,0.0,0.0,1.0,5865.0,7810.0,141.0,340.0,35.0,1.0,0.0,1.0,1.0
ESPORTSTMNT03_3086653,44,jng,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6536,174.6037,0.0699763,895.4853,13,0.3473,19,12,81,2.1638,10881,6024,160.9261,0.165556,9900,187.0,39.0,148,4.9955,3025.0,3377.0,65.0,83.0,-3.0,0.0,0.0,0.0,4629.0,5715.0,99.0,-121.0,-3.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3086653,11,mid,5,5,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27376,731.3268,0.293095,1117.7204,7,0.187,18,1,51,1.3624,13899,9042,241.5494,0.248505,13655,277.0,268.0,9,7.3998,3229.0,4870.0,86.0,558.0,2.0,0.0,1.0,0.0,4771.0,7036.0,122.0,-882.0,-18.0,1.0,1.0,2.0,2.0
ESPORTSTMNT03_3086653,34,bot,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18332,489.724,0.196268,467.6848,13,0.3473,11,5,36,0.9617,13340,8483,226.6162,0.233141,13175,293.0,274.0,19,7.8272,3306.0,3129.0,75.0,27.0,5.0,1.0,0.0,0.0,5279.0,5469.0,117.0,-56.0,5.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03_3086653,47,sup,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899,264.4435,0.105982,360.5343,81,2.1638,17,29,139,3.7133,7624,2767,73.9181,0.0760382,7075,26.0,22.0,4,0.6946,2104.0,2910.0,4.0,346.0,2.0,0.0,1.0,0.0,3387.0,3552.0,6.0,-59.0,0.0,0.0,2.0,1.0,1.0
